season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr,baseline_elo,baseline_date,elo_change
2010,1,Auburn,SEC,2621.9,14,0,14,1,14-0,Oregon,2428.8,1804.4,NA,2026-09-18T12:09:03Z,6623,2703.3,2604,2026-09-17,17.9
2010,2,Oregon,Pac-12,2428.8,12,1,13,0.923,12-1,Stanford,2325.3,1650.7,NA,2026-09-18T12:09:03Z,3903.5,2377.3,2426.3,2026-09-17,2.5
2010,3,TCU,Mountain West,2377,13,0,13,1,13-0,Wisconsin,2124,1503,NA,2026-09-18T12:09:03Z,3277.5,2434.2,2379.3,2026-09-17,-2.3
2010,4,Stanford,Pac-12,2325.3,12,1,13,0.923,12-1,Virginia Tech,2077,1708.8,NA,2026-09-18T12:09:03Z,4008.4,2279.5,2325,2026-09-17,0.3
2010,5,Arkansas,SEC,2324.1,10,2,12,0.833,10-2,LSU,2271.7,1749.8,NA,2026-09-18T12:09:03Z,3293.7,2140.2,2234.7,2026-09-17,89.4
2010,6,LSU,SEC,2271.7,11,2,13,0.846,11-2,Alabama,2222.5,1799.6,NA,2026-09-18T12:09:03Z,3950.1,2117.7,2254.9,2026-09-17,16.8
2010,7,Alabama,SEC,2222.5,10,3,13,0.769,10-3,Arkansas,2324.1,1755.3,NA,2026-09-18T12:09:03Z,3384.5,1956.6,2212.9,2026-09-17,9.6
2010,8,Boise St,WAC,2202.6,12,1,13,0.923,12-1,Virginia Tech,2077,1499.8,NA,2026-09-18T12:09:03Z,2484.2,2149.1,2202.7,2026-09-17,-0.1
2010,9,Oklahoma,Big 12,2155.6,12,2,14,0.857,12-2,Oklahoma State,2075.9,1738.8,NA,2026-09-18T12:09:03Z,4203.2,2029.8,2153.6,2026-09-17,2
2010,10,Wisconsin,Big Ten,2124,11,2,13,0.846,11-2,Ohio State,2117.5,1552.2,NA,2026-09-18T12:09:03Z,2404.9,1970.3,2145.5,2026-09-17,-21.5
2010,11,Ohio State,Big Ten,2117.5,11,1,12,0.917,11-1,Iowa,1940.1,1558,NA,2026-09-18T12:09:03Z,2262.5,2057.8,2218.7,2026-09-17,-101.2
2010,12,Virginia Tech,ACC,2077,11,3,14,0.786,11-3,FSU,2026.6,1623.1,NA,2026-09-18T12:09:03Z,2390.7,1846.5,2077,2026-09-17,0
2010,13,Oklahoma State,Big 12,2075.9,11,2,13,0.846,11-2,Texas A&M,2048.2,1639.4,NA,2026-09-18T12:09:03Z,2829.7,1930.9,2075,2026-09-17,0.9
2010,14,Nevada,WAC,2062.4,13,1,14,0.929,13-1,Boise St,2202.6,1401.6,NA,2026-09-18T12:09:03Z,2063.5,2018.7,2062.4,2026-09-17,0
2010,15,Texas A&M,Big 12,2048.2,9,4,13,0.692,9-4,Oklahoma,2155.6,1751.9,NA,2026-09-18T12:09:03Z,2404.5,1691.3,2039.5,2026-09-17,8.7
2010,16,FSU,ACC,2026.6,10,4,14,0.714,10-4,South Carolina,2021.1,1708.9,NA,2026-09-18T12:09:03Z,2791.9,1708.6,2024,2026-09-17,2.6
2010,17,South Carolina,SEC,2021.1,9,5,14,0.643,9-5,Alabama,2222.5,1781.7,NA,2026-09-18T12:09:03Z,2600.5,1601.6,2008,2026-09-17,13.1
2010,18,Missouri,Big 12,2003.6,10,3,13,0.769,10-3,Oklahoma,2155.6,1744.6,NA,2026-09-18T12:09:03Z,3554.5,1771.1,2002.5,2026-09-17,1.1
2010,19,Michigan St,Big Ten,1985.6,11,2,13,0.846,11-2,Wisconsin,2124,1591.5,NA,2026-09-18T12:09:03Z,2775.1,1848.7,1988,2026-09-17,-2.4
2010,20,Miss St,SEC,1968.4,9,4,13,0.692,9-4,Florida,1872.2,1625.2,NA,2026-09-18T12:09:03Z,1369.5,1615.3,1960.7,2026-09-17,7.7
2010,21,Nebraska,Big 12,1957.1,10,4,14,0.714,10-4,Oklahoma State,2075.9,1650.4,NA,2026-09-18T12:09:03Z,2669.9,1650.6,1955.8,2026-09-17,1.3
2010,22,Notre Dame,Independent,1944.7,8,5,13,0.615,8-5,Utah,1865.1,1741.8,NA,2026-09-18T12:09:03Z,2283.7,1500.5,1945.6,2026-09-17,-0.9
2010,23,Iowa,Big Ten,1940.1,8,5,13,0.615,8-5,Missouri,2003.6,1625.2,NA,2026-09-18T12:09:03Z,2289.1,1497.1,1949.3,2026-09-17,-9.2
2010,24,Florida,SEC,1872.2,8,5,13,0.615,8-5,Penn State,1695.2,1756.3,NA,2026-09-18T12:09:03Z,1720.5,1440,1869.4,2026-09-17,2.8
2010,25,NC State,ACC,1867.4,9,4,13,0.692,9-4,FSU,2026.6,1579.6,NA,2026-09-18T12:09:03Z,2353.9,1545.8,1867.3,2026-09-17,0.1
2010,26,Utah,Mountain West,1865.1,10,3,13,0.769,10-3,Air Force,1851.8,1555.7,NA,2026-09-18T12:09:03Z,1854.8,1636.2,1865.4,2026-09-17,-0.3
2010,27,Air Force,Mountain West,1851.8,9,4,13,0.692,9-4,Navy,1719.1,1539.2,NA,2026-09-18T12:09:03Z,875.4,1514.4,1851.8,2026-09-17,0
2010,28,Tulsa,C-USA,1843.9,10,3,13,0.769,10-3,Notre Dame,1944.7,1384.8,NA,2026-09-18T12:09:03Z,1268.1,1610.7,1843.6,2026-09-17,0.3
2010,29,San Diego St,Mountain West,1831.3,9,4,13,0.692,9-4,Air Force,1851.8,1442.3,NA,2026-09-18T12:09:03Z,870.9,1497.8,1831.4,2026-09-17,-0.1
2010,30,Arizona,Pac-12,1821.5,7,6,13,0.538,7-6,Iowa,1940.1,1737.7,NA,2026-09-18T12:09:03Z,1681.1,1296.7,1821.9,2026-09-17,-0.4
2010,31,USC,Pac-12,1809.6,8,5,13,0.615,8-5,Arizona,1821.5,1753.7,NA,2026-09-18T12:09:03Z,1721.3,1393.3,1809.8,2026-09-17,-0.2
2010,32,Washington,Pac-12,1803.4,7,6,13,0.538,7-6,Nebraska,1957.1,1802.7,NA,2026-09-18T12:09:03Z,2165,1289.8,1803.2,2026-09-17,0.2
2010,33,Oregon St,Pac-12,1791.9,5,7,12,0.417,5-7,Arizona,1821.5,1882.6,NA,2026-09-18T12:09:03Z,1874.8,1103.5,1792,2026-09-17,-0.1
