date,home,away,winner,loser,winner_pts,loser_pts
2026-03-25,San Francisco Giants,New York Yankees,New York Yankees,San Francisco Giants,7,0
2026-03-26,New York Mets,Pittsburgh Pirates,New York Mets,Pittsburgh Pirates,11,7
2026-03-26,Milwaukee Brewers,Chicago White Sox,Milwaukee Brewers,Chicago White Sox,12,2
2026-03-26,Chicago Cubs,Washington Nationals,Washington Nationals,Chicago Cubs,10,4
2026-03-26,Baltimore Orioles,Minnesota Twins,Baltimore Orioles,Minnesota Twins,2,1
2026-03-26,Cincinnati Reds,Boston Red Sox,Boston Red Sox,Cincinnati Reds,3,0
2026-03-26,Houston Astros,Los Angeles Angels,Los Angeles Angels,Houston Astros,3,0
2026-03-26,San Diego Padres,Detroit Tigers,Detroit Tigers,San Diego Padres,8,2
2026-03-26,St. Louis Cardinals,Tampa Bay Rays,St. Louis Cardinals,Tampa Bay Rays,9,7
2026-03-26,Philadelphia Phillies,Texas Rangers,Philadelphia Phillies,Texas Rangers,5,3
2026-03-26,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,8,2
2026-03-26,Seattle Mariners,Cleveland Guardians,Cleveland Guardians,Seattle Mariners,6,4
2026-03-27,San Francisco Giants,New York Yankees,New York Yankees,San Francisco Giants,3,0
2026-03-27,Toronto Blue Jays,Athletics,Toronto Blue Jays,Athletics,3,2
2026-03-27,Miami Marlins,Colorado Rockies,Miami Marlins,Colorado Rockies,2,1
2026-03-27,Atlanta Braves,Kansas City Royals,Atlanta Braves,Kansas City Royals,6,0
2026-03-27,Houston Astros,Los Angeles Angels,Los Angeles Angels,Houston Astros,6,2
2026-03-27,San Diego Padres,Detroit Tigers,Detroit Tigers,San Diego Padres,5,2
2026-03-27,Seattle Mariners,Cleveland Guardians,Seattle Mariners,Cleveland Guardians,5,1
2026-03-27,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,5,4
2026-03-28,St. Louis Cardinals,Tampa Bay Rays,St. Louis Cardinals,Tampa Bay Rays,6,5
2026-03-28,Chicago Cubs,Washington Nationals,Chicago Cubs,Washington Nationals,10,2
2026-03-28,Toronto Blue Jays,Athletics,Toronto Blue Jays,Athletics,8,7
2026-03-28,Baltimore Orioles,Minnesota Twins,Minnesota Twins,Baltimore Orioles,4,1
2026-03-28,Philadelphia Phillies,Texas Rangers,Texas Rangers,Philadelphia Phillies,5,4
2026-03-28,Cincinnati Reds,Boston Red Sox,Cincinnati Reds,Boston Red Sox,6,5
2026-03-28,New York Mets,Pittsburgh Pirates,New York Mets,Pittsburgh Pirates,4,2
2026-03-28,Miami Marlins,Colorado Rockies,Miami Marlins,Colorado Rockies,4,3
2026-03-28,Houston Astros,Los Angeles Angels,Houston Astros,Los Angeles Angels,11,9
2026-03-28,Milwaukee Brewers,Chicago White Sox,Milwaukee Brewers,Chicago White Sox,6,1
2026-03-28,Atlanta Braves,Kansas City Royals,Atlanta Braves,Kansas City Royals,6,2
2026-03-28,San Francisco Giants,New York Yankees,New York Yankees,San Francisco Giants,3,1
2026-03-28,San Diego Padres,Detroit Tigers,San Diego Padres,Detroit Tigers,3,0
2026-03-28,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,3,2
2026-03-28,Seattle Mariners,Cleveland Guardians,Cleveland Guardians,Seattle Mariners,6,5
2026-03-29,Baltimore Orioles,Minnesota Twins,Baltimore Orioles,Minnesota Twins,8,6
2026-03-29,Philadelphia Phillies,Texas Rangers,Texas Rangers,Philadelphia Phillies,8,3
2026-03-29,Atlanta Braves,Kansas City Royals,Kansas City Royals,Atlanta Braves,4,1
2026-03-29,Toronto Blue Jays,Athletics,Toronto Blue Jays,Athletics,5,2
2026-03-29,Cincinnati Reds,Boston Red Sox,Cincinnati Reds,Boston Red Sox,3,2
2026-03-29,New York Mets,Pittsburgh Pirates,Pittsburgh Pirates,New York Mets,4,3
2026-03-29,Miami Marlins,Colorado Rockies,Miami Marlins,Colorado Rockies,4,3
2026-03-29,Houston Astros,Los Angeles Angels,Houston Astros,Los Angeles Angels,9,7
2026-03-29,Milwaukee Brewers,Chicago White Sox,Milwaukee Brewers,Chicago White Sox,9,7
2026-03-29,St. Louis Cardinals,Tampa Bay Rays,Tampa Bay Rays,St. Louis Cardinals,11,7
2026-03-29,Chicago Cubs,Washington Nationals,Washington Nationals,Chicago Cubs,6,3
2026-03-29,Seattle Mariners,Cleveland Guardians,Seattle Mariners,Cleveland Guardians,8,0
2026-03-30,Kansas City Royals,Minnesota Twins,Kansas City Royals,Minnesota Twins,3,1
2026-03-30,Baltimore Orioles,Texas Rangers,Texas Rangers,Baltimore Orioles,5,2
2026-03-30,Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,Pittsburgh Pirates,2,0
2026-03-30,Philadelphia Phillies,Washington Nationals,Washington Nationals,Philadelphia Phillies,12,2
2026-03-30,Miami Marlins,Chicago White Sox,Chicago White Sox,Miami Marlins,9,4
2026-03-30,Toronto Blue Jays,Colorado Rockies,Colorado Rockies,Toronto Blue Jays,14,5
2026-03-30,Atlanta Braves,Athletics,Atlanta Braves,Athletics,4,0
2026-03-30,Chicago Cubs,Los Angeles Angels,Chicago Cubs,Los Angeles Angels,7,2
2026-03-30,Milwaukee Brewers,Tampa Bay Rays,Tampa Bay Rays,Milwaukee Brewers,3,2
2026-03-30,St. Louis Cardinals,New York Mets,New York Mets,St. Louis Cardinals,4,2
2026-03-30,Houston Astros,Boston Red Sox,Houston Astros,Boston Red Sox,8,1
2026-03-30,San Diego Padres,San Francisco Giants,San Francisco Giants,San Diego Padres,3,2
2026-03-30,Seattle Mariners,New York Yankees,Seattle Mariners,New York Yankees,2,1
2026-03-30,Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,Detroit Tigers,9,6
2026-03-30,Los Angeles Dodgers,Cleveland Guardians,Cleveland Guardians,Los Angeles Dodgers,4,2
2026-03-31,Baltimore Orioles,Texas Rangers,Texas Rangers,Baltimore Orioles,8,5
2026-03-31,Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates,Cincinnati Reds,8,3
2026-03-31,Philadelphia Phillies,Washington Nationals,Philadelphia Phillies,Washington Nationals,3,2
2026-03-31,Miami Marlins,Chicago White Sox,Miami Marlins,Chicago White Sox,9,2
2026-03-31,Toronto Blue Jays,Colorado Rockies,Toronto Blue Jays,Colorado Rockies,5,1
2026-03-31,Atlanta Braves,Athletics,Athletics,Atlanta Braves,5,2
2026-03-31,Chicago Cubs,Los Angeles Angels,Los Angeles Angels,Chicago Cubs,2,0
2026-03-31,Milwaukee Brewers,Tampa Bay Rays,Milwaukee Brewers,Tampa Bay Rays,6,2
2026-03-31,St. Louis Cardinals,New York Mets,St. Louis Cardinals,New York Mets,3,0
2026-03-31,Houston Astros,Boston Red Sox,Houston Astros,Boston Red Sox,9,2
2026-03-31,Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,Detroit Tigers,7,5
2026-03-31,San Diego Padres,San Francisco Giants,San Francisco Giants,San Diego Padres,9,3
2026-03-31,Seattle Mariners,New York Yankees,New York Yankees,Seattle Mariners,5,0
2026-03-31,Los Angeles Dodgers,Cleveland Guardians,Los Angeles Dodgers,Cleveland Guardians,4,1
2026-04-01,Atlanta Braves,Athletics,Atlanta Braves,Athletics,5,1
2026-04-01,Baltimore Orioles,Texas Rangers,Baltimore Orioles,Texas Rangers,8,3
2026-04-01,Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates,Cincinnati Reds,8,3
2026-04-01,Philadelphia Phillies,Washington Nationals,Philadelphia Phillies,Washington Nationals,6,5
2026-04-01,Toronto Blue Jays,Colorado Rockies,Colorado Rockies,Toronto Blue Jays,2,1
2026-04-01,Miami Marlins,Chicago White Sox,Miami Marlins,Chicago White Sox,10,0
2026-04-01,St. Louis Cardinals,New York Mets,St. Louis Cardinals,New York Mets,2,1
2026-04-01,Milwaukee Brewers,Tampa Bay Rays,Milwaukee Brewers,Tampa Bay Rays,8,2
2026-04-01,Houston Astros,Boston Red Sox,Houston Astros,Boston Red Sox,6,4
2026-04-01,Chicago Cubs,Los Angeles Angels,Chicago Cubs,Los Angeles Angels,6,2
2026-04-01,Arizona Diamondbacks,Detroit Tigers,Arizona Diamondbacks,Detroit Tigers,1,0
2026-04-01,San Diego Padres,San Francisco Giants,San Diego Padres,San Francisco Giants,7,1
2026-04-01,Seattle Mariners,New York Yankees,New York Yankees,Seattle Mariners,5,3
2026-04-01,Kansas City Royals,Minnesota Twins,Kansas City Royals,Minnesota Twins,13,9
2026-04-01,Los Angeles Dodgers,Cleveland Guardians,Cleveland Guardians,Los Angeles Dodgers,4,1
2026-04-02,Kansas City Royals,Minnesota Twins,Minnesota Twins,Kansas City Royals,5,1
2026-04-02,Arizona Diamondbacks,Atlanta Braves,Atlanta Braves,Arizona Diamondbacks,12,2
2026-04-02,San Francisco Giants,New York Mets,San Francisco Giants,New York Mets,7,2
2026-04-03,Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers,Washington Nationals,13,6
2026-04-03,Detroit Tigers,St. Louis Cardinals,Detroit Tigers,St. Louis Cardinals,4,0
2026-04-03,New York Yankees,Miami Marlins,New York Yankees,Miami Marlins,8,2
2026-04-03,Boston Red Sox,San Diego Padres,Boston Red Sox,San Diego Padres,5,2
2026-04-03,Chicago White Sox,Toronto Blue Jays,Chicago White Sox,Toronto Blue Jays,5,4
2026-04-03,Texas Rangers,Cincinnati Reds,Cincinnati Reds,Texas Rangers,5,3
2026-04-03,Cleveland Guardians,Chicago Cubs,Cleveland Guardians,Chicago Cubs,4,1
2026-04-03,Minnesota Twins,Tampa Bay Rays,Minnesota Twins,Tampa Bay Rays,10,4
2026-04-03,Colorado Rockies,Philadelphia Phillies,Philadelphia Phillies,Colorado Rockies,10,1
2026-04-03,Pittsburgh Pirates,Baltimore Orioles,Pittsburgh Pirates,Baltimore Orioles,5,4
2026-04-03,Los Angeles Angels,Seattle Mariners,Seattle Mariners,Los Angeles Angels,3,1
2026-04-03,Athletics,Houston Astros,Athletics,Houston Astros,11,4
2026-04-03,Arizona Diamondbacks,Atlanta Braves,Atlanta Braves,Arizona Diamondbacks,2,0
2026-04-03,San Francisco Giants,New York Mets,New York Mets,San Francisco Giants,10,3
2026-04-04,Detroit Tigers,St. Louis Cardinals,Detroit Tigers,St. Louis Cardinals,11,6
2026-04-04,Chicago White Sox,Toronto Blue Jays,Chicago White Sox,Toronto Blue Jays,6,3
2026-04-04,Kansas City Royals,Milwaukee Brewers,Milwaukee Brewers,Kansas City Royals,5,2
2026-04-04,Kansas City Royals,Milwaukee Brewers,Kansas City Royals,Milwaukee Brewers,8,2
2026-04-04,Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers,Washington Nationals,10,5
2026-04-04,Athletics,Houston Astros,Houston Astros,Athletics,10,0
2026-04-04,Pittsburgh Pirates,Baltimore Orioles,Pittsburgh Pirates,Baltimore Orioles,3,2
2026-04-04,Boston Red Sox,San Diego Padres,San Diego Padres,Boston Red Sox,3,2
2026-04-04,Texas Rangers,Cincinnati Reds,Cincinnati Reds,Texas Rangers,2,0
2026-04-04,New York Yankees,Miami Marlins,New York Yankees,Miami Marlins,9,7
2026-04-04,Minnesota Twins,Tampa Bay Rays,Tampa Bay Rays,Minnesota Twins,7,1
2026-04-04,Arizona Diamondbacks,Atlanta Braves,Arizona Diamondbacks,Atlanta Braves,2,1
2026-04-04,Colorado Rockies,Philadelphia Phillies,Philadelphia Phillies,Colorado Rockies,2,1
2026-04-04,San Francisco Giants,New York Mets,New York Mets,San Francisco Giants,9,0
2026-04-04,Los Angeles Angels,Seattle Mariners,Los Angeles Angels,Seattle Mariners,1,0
2026-04-05,Cleveland Guardians,Chicago Cubs,Chicago Cubs,Cleveland Guardians,1,0
2026-04-05,Cleveland Guardians,Chicago Cubs,Cleveland Guardians,Chicago Cubs,6,5
2026-04-05,Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers,Washington Nationals,8,6
2026-04-05,Pittsburgh Pirates,Baltimore Orioles,Pittsburgh Pirates,Baltimore Orioles,8,2
2026-04-05,Boston Red Sox,San Diego Padres,San Diego Padres,Boston Red Sox,8,6
2026-04-05,New York Yankees,Miami Marlins,Miami Marlins,New York Yankees,7,6
2026-04-05,Minnesota Twins,Tampa Bay Rays,Tampa Bay Rays,Minnesota Twins,4,1
2026-04-05,Chicago White Sox,Toronto Blue Jays,Chicago White Sox,Toronto Blue Jays,3,0
2026-04-05,Kansas City Royals,Milwaukee Brewers,Milwaukee Brewers,Kansas City Royals,8,5
2026-04-05,Texas Rangers,Cincinnati Reds,Cincinnati Reds,Texas Rangers,2,1
2026-04-05,Colorado Rockies,Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,4,1
2026-04-05,Athletics,Houston Astros,Athletics,Houston Astros,12,10
2026-04-05,San Francisco Giants,New York Mets,New York Mets,San Francisco Giants,5,2
2026-04-05,Los Angeles Angels,Seattle Mariners,Los Angeles Angels,Seattle Mariners,8,7
2026-04-05,Arizona Diamondbacks,Atlanta Braves,Arizona Diamondbacks,Atlanta Braves,6,5
2026-04-05,Detroit Tigers,St. Louis Cardinals,St. Louis Cardinals,Detroit Tigers,5,3
2026-04-06,Tampa Bay Rays,Chicago Cubs,Tampa Bay Rays,Chicago Cubs,6,4
2026-04-06,Cleveland Guardians,Kansas City Royals,Kansas City Royals,Cleveland Guardians,4,2
2026-04-06,Pittsburgh Pirates,San Diego Padres,San Diego Padres,Pittsburgh Pirates,5,0
2026-04-06,Miami Marlins,Cincinnati Reds,Cincinnati Reds,Miami Marlins,2,0
2026-04-06,Washington Nationals,St. Louis Cardinals,Washington Nationals,St. Louis Cardinals,9,6
2026-04-06,Boston Red Sox,Milwaukee Brewers,Milwaukee Brewers,Boston Red Sox,8,6
2026-04-06,Toronto Blue Jays,Los Angeles Dodgers,Los Angeles Dodgers,Toronto Blue Jays,12,2
2026-04-06,Minnesota Twins,Detroit Tigers,Minnesota Twins,Detroit Tigers,7,3
2026-04-06,Chicago White Sox,Baltimore Orioles,Baltimore Orioles,Chicago White Sox,2,1
2026-04-06,Texas Rangers,Seattle Mariners,Texas Rangers,Seattle Mariners,2,1
2026-04-06,Colorado Rockies,Houston Astros,Colorado Rockies,Houston Astros,9,7
2026-04-06,Los Angeles Angels,Atlanta Braves,Los Angeles Angels,Atlanta Braves,6,2
2026-04-06,San Francisco Giants,Philadelphia Phillies,Philadelphia Phillies,San Francisco Giants,6,4
2026-04-07,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,Kansas City Royals,2,1
2026-04-07,Chicago White Sox,Baltimore Orioles,Baltimore Orioles,Chicago White Sox,4,2
2026-04-07,New York Mets,Arizona Diamondbacks,New York Mets,Arizona Diamondbacks,4,3
2026-04-07,Pittsburgh Pirates,San Diego Padres,Pittsburgh Pirates,San Diego Padres,7,1
2026-04-07,Tampa Bay Rays,Chicago Cubs,Chicago Cubs,Tampa Bay Rays,9,2
2026-04-07,Miami Marlins,Cincinnati Reds,Cincinnati Reds,Miami Marlins,6,3
2026-04-07,Washington Nationals,St. Louis Cardinals,St. Louis Cardinals,Washington Nationals,7,6
2026-04-07,Boston Red Sox,Milwaukee Brewers,Boston Red Sox,Milwaukee Brewers,3,2
2026-04-07,New York Yankees,Athletics,New York Yankees,Athletics,5,3
2026-04-07,Toronto Blue Jays,Los Angeles Dodgers,Los Angeles Dodgers,Toronto Blue Jays,4,1
2026-04-07,Minnesota Twins,Detroit Tigers,Minnesota Twins,Detroit Tigers,4,2
2026-04-07,Texas Rangers,Seattle Mariners,Texas Rangers,Seattle Mariners,3,2
2026-04-07,Colorado Rockies,Houston Astros,Colorado Rockies,Houston Astros,5,1
2026-04-07,Los Angeles Angels,Atlanta Braves,Atlanta Braves,Los Angeles Angels,7,2
2026-04-07,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,6,0
2026-04-08,Pittsburgh Pirates,San Diego Padres,San Diego Padres,Pittsburgh Pirates,8,2
2026-04-08,Cleveland Guardians,Kansas City Royals,Cleveland Guardians,Kansas City Royals,10,2
2026-04-08,Boston Red Sox,Milwaukee Brewers,Boston Red Sox,Milwaukee Brewers,5,0
2026-04-08,Chicago White Sox,Baltimore Orioles,Baltimore Orioles,Chicago White Sox,5,3
2026-04-08,Texas Rangers,Seattle Mariners,Texas Rangers,Seattle Mariners,3,0
2026-04-08,Toronto Blue Jays,Los Angeles Dodgers,Toronto Blue Jays,Los Angeles Dodgers,4,3
2026-04-08,Colorado Rockies,Houston Astros,Colorado Rockies,Houston Astros,9,1
2026-04-08,San Francisco Giants,Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,5,0
2026-04-08,Washington Nationals,St. Louis Cardinals,St. Louis Cardinals,Washington Nationals,6,1
2026-04-08,Los Angeles Angels,Atlanta Braves,Atlanta Braves,Los Angeles Angels,8,2
2026-04-08,New York Mets,Arizona Diamondbacks,Arizona Diamondbacks,New York Mets,7,2
2026-04-08,Tampa Bay Rays,Chicago Cubs,Chicago Cubs,Tampa Bay Rays,6,2
2026-04-08,Miami Marlins,Cincinnati Reds,Miami Marlins,Cincinnati Reds,7,4
2026-04-08,New York Yankees,Athletics,Athletics,New York Yankees,3,2
2026-04-08,Minnesota Twins,Detroit Tigers,Minnesota Twins,Detroit Tigers,8,6
2026-04-09,Miami Marlins,Cincinnati Reds,Miami Marlins,Cincinnati Reds,8,1
2026-04-09,New York Yankees,Athletics,Athletics,New York Yankees,1,0
2026-04-09,Minnesota Twins,Detroit Tigers,Minnesota Twins,Detroit Tigers,3,1
2026-04-09,New York Mets,Arizona Diamondbacks,Arizona Diamondbacks,New York Mets,7,1
2026-04-09,Kansas City Royals,Chicago White Sox,Chicago White Sox,Kansas City Royals,2,0
2026-04-09,San Diego Padres,Colorado Rockies,San Diego Padres,Colorado Rockies,7,3
2026-04-10,Chicago Cubs,Pittsburgh Pirates,Pittsburgh Pirates,Chicago Cubs,2,0
2026-04-10,Philadelphia Phillies,Arizona Diamondbacks,Arizona Diamondbacks,Philadelphia Phillies,5,4
2026-04-10,Detroit Tigers,Miami Marlins,Detroit Tigers,Miami Marlins,2,0
2026-04-10,Cincinnati Reds,Los Angeles Angels,Los Angeles Angels,Cincinnati Reds,10,2
2026-04-10,Toronto Blue Jays,Minnesota Twins,Toronto Blue Jays,Minnesota Twins,10,4
2026-04-10,New York Mets,Athletics,Athletics,New York Mets,4,0
2026-04-10,Tampa Bay Rays,New York Yankees,Tampa Bay Rays,New York Yankees,5,3
2026-04-10,Baltimore Orioles,San Francisco Giants,San Francisco Giants,Baltimore Orioles,6,3
2026-04-10,Atlanta Braves,Cleveland Guardians,Atlanta Braves,Cleveland Guardians,11,5
2026-04-10,Kansas City Royals,Chicago White Sox,Kansas City Royals,Chicago White Sox,2,0
2026-04-10,Milwaukee Brewers,Washington Nationals,Washington Nationals,Milwaukee Brewers,7,3
2026-04-10,St. Louis Cardinals,Boston Red Sox,St. Louis Cardinals,Boston Red Sox,3,2
2026-04-10,San Diego Padres,Colorado Rockies,San Diego Padres,Colorado Rockies,5,2
2026-04-10,Seattle Mariners,Houston Astros,Seattle Mariners,Houston Astros,9,6
2026-04-10,Los Angeles Dodgers,Texas Rangers,Los Angeles Dodgers,Texas Rangers,8,7
2026-04-11,Philadelphia Phillies,Arizona Diamondbacks,Philadelphia Phillies,Arizona Diamondbacks,4,3
2026-04-11,Detroit Tigers,Miami Marlins,Detroit Tigers,Miami Marlins,6,1
2026-04-11,Chicago Cubs,Pittsburgh Pirates,Pittsburgh Pirates,Chicago Cubs,4,3
2026-04-11,Toronto Blue Jays,Minnesota Twins,Minnesota Twins,Toronto Blue Jays,7,4
2026-04-11,Cincinnati Reds,Los Angeles Angels,Cincinnati Reds,Los Angeles Angels,7,3
2026-04-11,New York Mets,Athletics,Athletics,New York Mets,11,6
2026-04-11,Kansas City Royals,Chicago White Sox,Kansas City Royals,Chicago White Sox,2,0
2026-04-11,Tampa Bay Rays,New York Yankees,Tampa Bay Rays,New York Yankees,5,4
2026-04-11,Milwaukee Brewers,Washington Nationals,Washington Nationals,Milwaukee Brewers,3,1
2026-04-11,Baltimore Orioles,San Francisco Giants,Baltimore Orioles,San Francisco Giants,6,2
2026-04-11,St. Louis Cardinals,Boston Red Sox,Boston Red Sox,St. Louis Cardinals,7,1
2026-04-11,Atlanta Braves,Cleveland Guardians,Cleveland Guardians,Atlanta Braves,6,0
2026-04-11,San Diego Padres,Colorado Rockies,San Diego Padres,Colorado Rockies,9,5
2026-04-11,Los Angeles Dodgers,Texas Rangers,Los Angeles Dodgers,Texas Rangers,6,3
2026-04-11,Seattle Mariners,Houston Astros,Seattle Mariners,Houston Astros,8,7
2026-04-12,Baltimore Orioles,San Francisco Giants,Baltimore Orioles,San Francisco Giants,6,2
2026-04-12,Philadelphia Phillies,Arizona Diamondbacks,Arizona Diamondbacks,Philadelphia Phillies,4,3
2026-04-12,Toronto Blue Jays,Minnesota Twins,Minnesota Twins,Toronto Blue Jays,8,2
2026-04-12,Cincinnati Reds,Los Angeles Angels,Los Angeles Angels,Cincinnati Reds,9,6
2026-04-12,New York Mets,Athletics,Athletics,New York Mets,1,0
2026-04-12,Detroit Tigers,Miami Marlins,Detroit Tigers,Miami Marlins,8,2
2026-04-12,Tampa Bay Rays,New York Yankees,Tampa Bay Rays,New York Yankees,5,4
2026-04-12,Kansas City Royals,Chicago White Sox,Chicago White Sox,Kansas City Royals,6,5
2026-04-12,Milwaukee Brewers,Washington Nationals,Washington Nationals,Milwaukee Brewers,8,6
2026-04-12,St. Louis Cardinals,Boston Red Sox,Boston Red Sox,St. Louis Cardinals,9,3
2026-04-12,Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,7,6
2026-04-12,San Diego Padres,Colorado Rockies,San Diego Padres,Colorado Rockies,7,2
2026-04-12,Seattle Mariners,Houston Astros,Seattle Mariners,Houston Astros,6,1
2026-04-12,Los Angeles Dodgers,Texas Rangers,Texas Rangers,Los Angeles Dodgers,5,2
2026-04-12,Atlanta Braves,Cleveland Guardians,Atlanta Braves,Cleveland Guardians,11,1
2026-04-13,Seattle Mariners,Houston Astros,Seattle Mariners,Houston Astros,6,2
2026-04-13,Baltimore Orioles,Arizona Diamondbacks,Baltimore Orioles,Arizona Diamondbacks,9,7
2026-04-13,Pittsburgh Pirates,Washington Nationals,Pittsburgh Pirates,Washington Nationals,15,5
2026-04-13,Philadelphia Phillies,Chicago Cubs,Philadelphia Phillies,Chicago Cubs,13,7
2026-04-13,New York Yankees,Los Angeles Angels,New York Yankees,Los Angeles Angels,11,10
2026-04-13,Atlanta Braves,Miami Marlins,Miami Marlins,Atlanta Braves,10,4
2026-04-13,Minnesota Twins,Boston Red Sox,Minnesota Twins,Boston Red Sox,13,6
2026-04-13,St. Louis Cardinals,Cleveland Guardians,Cleveland Guardians,St. Louis Cardinals,9,3
2026-04-13,Athletics,Texas Rangers,Texas Rangers,Athletics,8,1
2026-04-13,Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,New York Mets,4,0
2026-04-14,Baltimore Orioles,Arizona Diamondbacks,Arizona Diamondbacks,Baltimore Orioles,4,3
2026-04-14,Detroit Tigers,Kansas City Royals,Detroit Tigers,Kansas City Royals,2,1
2026-04-14,Pittsburgh Pirates,Washington Nationals,Washington Nationals,Pittsburgh Pirates,5,4
2026-04-14,Cincinnati Reds,San Francisco Giants,Cincinnati Reds,San Francisco Giants,2,1
2026-04-14,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,Philadelphia Phillies,10,4
2026-04-14,New York Yankees,Los Angeles Angels,Los Angeles Angels,New York Yankees,7,1
2026-04-14,Atlanta Braves,Miami Marlins,Atlanta Braves,Miami Marlins,6,5
2026-04-14,Minnesota Twins,Boston Red Sox,Minnesota Twins,Boston Red Sox,6,0
2026-04-14,Chicago White Sox,Tampa Bay Rays,Tampa Bay Rays,Chicago White Sox,8,5
2026-04-14,Milwaukee Brewers,Toronto Blue Jays,Toronto Blue Jays,Milwaukee Brewers,9,7
2026-04-14,St. Louis Cardinals,Cleveland Guardians,St. Louis Cardinals,Cleveland Guardians,6,5
2026-04-14,Houston Astros,Colorado Rockies,Houston Astros,Colorado Rockies,7,6
2026-04-14,San Diego Padres,Seattle Mariners,San Diego Padres,Seattle Mariners,4,1
2026-04-14,Athletics,Texas Rangers,Athletics,Texas Rangers,2,1
2026-04-14,Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,New York Mets,2,1
2026-04-15,Baltimore Orioles,Arizona Diamondbacks,Arizona Diamondbacks,Baltimore Orioles,8,5
2026-04-15,St. Louis Cardinals,Cleveland Guardians,St. Louis Cardinals,Cleveland Guardians,5,3
2026-04-15,Minnesota Twins,Boston Red Sox,Boston Red Sox,Minnesota Twins,9,5
2026-04-15,Detroit Tigers,Kansas City Royals,Detroit Tigers,Kansas City Royals,2,1
2026-04-15,Pittsburgh Pirates,Washington Nationals,Pittsburgh Pirates,Washington Nationals,2,0
2026-04-15,Cincinnati Reds,San Francisco Giants,Cincinnati Reds,San Francisco Giants,8,3
2026-04-15,Philadelphia Phillies,Chicago Cubs,Chicago Cubs,Philadelphia Phillies,11,2
2026-04-15,New York Yankees,Los Angeles Angels,New York Yankees,Los Angeles Angels,5,4
2026-04-15,Atlanta Braves,Miami Marlins,Atlanta Braves,Miami Marlins,6,3
2026-04-15,Chicago White Sox,Tampa Bay Rays,Tampa Bay Rays,Chicago White Sox,8,3
2026-04-15,Milwaukee Brewers,Toronto Blue Jays,Milwaukee Brewers,Toronto Blue Jays,2,1
2026-04-15,Houston Astros,Colorado Rockies,Houston Astros,Colorado Rockies,3,1
2026-04-15,San Diego Padres,Seattle Mariners,San Diego Padres,Seattle Mariners,7,6
2026-04-15,Athletics,Texas Rangers,Athletics,Texas Rangers,6,5
2026-04-15,Los Angeles Dodgers,New York Mets,Los Angeles Dodgers,New York Mets,8,2
2026-04-16,Pittsburgh Pirates,Washington Nationals,Washington Nationals,Pittsburgh Pirates,8,7
2026-04-16,Cincinnati Reds,San Francisco Giants,San Francisco Giants,Cincinnati Reds,3,0
2026-04-16,Detroit Tigers,Kansas City Royals,Detroit Tigers,Kansas City Royals,10,9
2026-04-16,New York Yankees,Los Angeles Angels,Los Angeles Angels,New York Yankees,11,4
2026-04-16,Milwaukee Brewers,Toronto Blue Jays,Milwaukee Brewers,Toronto Blue Jays,2,1
2026-04-16,Chicago White Sox,Tampa Bay Rays,Tampa Bay Rays,Chicago White Sox,5,3
2026-04-16,Athletics,Texas Rangers,Texas Rangers,Athletics,9,6
2026-04-16,Cleveland Guardians,Baltimore Orioles,Cleveland Guardians,Baltimore Orioles,4,2
2026-04-16,Houston Astros,Colorado Rockies,Colorado Rockies,Houston Astros,3,2
2026-04-16,San Diego Padres,Seattle Mariners,San Diego Padres,Seattle Mariners,5,2
2026-04-17,Chicago Cubs,New York Mets,Chicago Cubs,New York Mets,12,4
2026-04-17,Cleveland Guardians,Baltimore Orioles,Baltimore Orioles,Cleveland Guardians,6,4
2026-04-17,Philadelphia Phillies,Atlanta Braves,Atlanta Braves,Philadelphia Phillies,9,0
2026-04-17,Washington Nationals,San Francisco Giants,San Francisco Giants,Washington Nationals,10,5
2026-04-17,Pittsburgh Pirates,Tampa Bay Rays,Pittsburgh Pirates,Tampa Bay Rays,5,1
2026-04-17,New York Yankees,Kansas City Royals,New York Yankees,Kansas City Royals,4,2
2026-04-17,Miami Marlins,Milwaukee Brewers,Milwaukee Brewers,Miami Marlins,7,5
2026-04-17,Boston Red Sox,Detroit Tigers,Boston Red Sox,Detroit Tigers,1,0
