date,home,away,winner,loser,winner_pts,loser_pts,end_type
2021-10-01,Ottawa Senators,Montreal Canadiens,Ottawa Senators,Montreal Canadiens,6,2,REG
2021-10-01,Florida Panthers,Dallas Stars,Florida Panthers,Dallas Stars,6,3,REG
2021-10-01,Tampa Bay Lightning,Carolina Hurricanes,Tampa Bay Lightning,Carolina Hurricanes,8,5,REG
2021-10-01,Buffalo Sabres,Pittsburgh Penguins,Pittsburgh Penguins,Buffalo Sabres,2,1,REG
2021-10-01,New Jersey Devils,New York Rangers,New Jersey Devils,New York Rangers,5,1,REG
2021-10-02,Chicago Blackhawks,St. Louis Blues,St. Louis Blues,Chicago Blackhawks,6,3,REG
2021-10-02,Calgary Flames,Vancouver Canucks,Calgary Flames,Vancouver Canucks,4,1,REG
2021-10-02,Seattle Kraken,Edmonton Oilers,Seattle Kraken,Edmonton Oilers,2,1,OT
2021-10-02,Vegas Golden Knights,Los Angeles Kings,Vegas Golden Knights,Los Angeles Kings,4,0,REG
2021-10-02,New York Islanders,New Jersey Devils,New Jersey Devils,New York Islanders,2,1,OT
2021-10-02,Arizona Coyotes,Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,4,3,REG
2021-10-02,Edmonton Oilers,Winnipeg Jets,Edmonton Oilers,Winnipeg Jets,4,3,REG
2021-10-02,Philadelphia Flyers,Washington Capitals,Philadelphia Flyers,Washington Capitals,3,1,REG
2021-10-02,Montreal Canadiens,Ottawa Senators,Montreal Canadiens,Ottawa Senators,2,1,REG
2021-10-02,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,Columbus Blue Jackets,5,1,REG
2021-10-02,Boston Bruins,New York Rangers,New York Rangers,Boston Bruins,4,3,OT
2021-10-03,Nashville Predators,Tampa Bay Lightning,Nashville Predators,Tampa Bay Lightning,5,1,REG
2021-10-03,St. Louis Blues,Chicago Blackhawks,Chicago Blackhawks,St. Louis Blues,5,1,REG
2021-10-03,Seattle Kraken,Calgary Flames,Calgary Flames,Seattle Kraken,4,1,REG
2021-10-03,Pittsburgh Penguins,Detroit Red Wings,Pittsburgh Penguins,Detroit Red Wings,5,1,REG
2021-10-03,Vancouver Canucks,Winnipeg Jets,Vancouver Canucks,Winnipeg Jets,3,2,REG
2021-10-04,Dallas Stars,Arizona Coyotes,Dallas Stars,Arizona Coyotes,6,3,REG
2021-10-04,New Jersey Devils,Washington Capitals,New Jersey Devils,Washington Capitals,4,1,REG
2021-10-04,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,Boston Bruins,2,1,OT
2021-10-04,Ottawa Senators,Toronto Maple Leafs,Toronto Maple Leafs,Ottawa Senators,3,1,REG
2021-10-04,Buffalo Sabres,Columbus Blue Jackets,Columbus Blue Jackets,Buffalo Sabres,5,3,REG
2021-10-04,Detroit Red Wings,Chicago Blackhawks,Chicago Blackhawks,Detroit Red Wings,6,4,REG
2021-10-05,Minnesota Wild,Colorado Avalanche,Minnesota Wild,Colorado Avalanche,3,1,REG
2021-10-05,Edmonton Oilers,Calgary Flames,Edmonton Oilers,Calgary Flames,4,3,REG
2021-10-05,San Jose Sharks,Anaheim Ducks,Anaheim Ducks,San Jose Sharks,3,2,SO
2021-10-05,New York Islanders,Philadelphia Flyers,New York Islanders,Philadelphia Flyers,3,0,REG
2021-10-05,Tampa Bay Lightning,Florida Panthers,Florida Panthers,Tampa Bay Lightning,3,2,REG
2021-10-05,Pittsburgh Penguins,Buffalo Sabres,Pittsburgh Penguins,Buffalo Sabres,5,4,SO
2021-10-05,Carolina Hurricanes,Nashville Predators,Nashville Predators,Carolina Hurricanes,3,2,OT
2021-10-05,Toronto Maple Leafs,Montreal Canadiens,Toronto Maple Leafs,Montreal Canadiens,6,2,REG
2021-10-06,Dallas Stars,St. Louis Blues,Dallas Stars,St. Louis Blues,3,1,REG
2021-10-06,Colorado Avalanche,Vegas Golden Knights,Vegas Golden Knights,Colorado Avalanche,7,4,REG
2021-10-06,Vancouver Canucks,Seattle Kraken,Seattle Kraken,Vancouver Canucks,4,0,REG
2021-10-06,Los Angeles Kings,Arizona Coyotes,Arizona Coyotes,Los Angeles Kings,4,1,REG
2021-10-06,Columbus Blue Jackets,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,4,2,REG
2021-10-06,Boston Bruins,Washington Capitals,Washington Capitals,Boston Bruins,4,3,OT
2021-10-06,New York Rangers,New Jersey Devils,New York Rangers,New Jersey Devils,6,2,REG
2021-10-07,Minnesota Wild,St. Louis Blues,Minnesota Wild,St. Louis Blues,4,3,OT
2021-10-07,Winnipeg Jets,Calgary Flames,Winnipeg Jets,Calgary Flames,3,2,REG
2021-10-07,Anaheim Ducks,Los Angeles Kings,Los Angeles Kings,Anaheim Ducks,6,3,REG
2021-10-17,Ottawa Senators,Dallas Stars,Ottawa Senators,Dallas Stars,3,2,REG
2021-10-18,Toronto Maple Leafs,New York Rangers,New York Rangers,Toronto Maple Leafs,2,1,OT
2021-10-18,Philadelphia Flyers,Seattle Kraken,Philadelphia Flyers,Seattle Kraken,5,1,REG
2021-10-19,Calgary Flames,Anaheim Ducks,Anaheim Ducks,Calgary Flames,3,2,OT
2021-10-19,Arizona Coyotes,St. Louis Blues,St. Louis Blues,Arizona Coyotes,7,4,REG
2021-10-19,Buffalo Sabres,Vancouver Canucks,Buffalo Sabres,Vancouver Canucks,5,2,REG
2021-10-19,Montreal Canadiens,San Jose Sharks,San Jose Sharks,Montreal Canadiens,4,0,REG
2021-10-19,Tampa Bay Lightning,Florida Panthers,Florida Panthers,Tampa Bay Lightning,4,1,REG
2021-10-19,New Jersey Devils,Seattle Kraken,New Jersey Devils,Seattle Kraken,4,2,REG
2021-10-19,Pittsburgh Penguins,Dallas Stars,Dallas Stars,Pittsburgh Penguins,2,1,SO
2021-10-19,Washington Capitals,Colorado Avalanche,Washington Capitals,Colorado Avalanche,6,3,REG
2021-10-19,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,Columbus Blue Jackets,4,1,REG
2021-10-20,Chicago Blackhawks,New York Islanders,New York Islanders,Chicago Blackhawks,4,1,REG
2021-10-20,Nashville Predators,Los Angeles Kings,Nashville Predators,Los Angeles Kings,2,1,REG
2021-10-20,Minnesota Wild,Winnipeg Jets,Minnesota Wild,Winnipeg Jets,6,5,OT
2021-10-20,Edmonton Oilers,Anaheim Ducks,Edmonton Oilers,Anaheim Ducks,6,5,REG
2021-10-20,Philadelphia Flyers,Boston Bruins,Philadelphia Flyers,Boston Bruins,6,3,REG
2021-10-21,Vegas Golden Knights,St. Louis Blues,St. Louis Blues,Vegas Golden Knights,3,1,REG
2021-10-21,Montreal Canadiens,Carolina Hurricanes,Carolina Hurricanes,Montreal Canadiens,4,1,REG
2021-10-21,Ottawa Senators,San Jose Sharks,San Jose Sharks,Ottawa Senators,2,1,REG
2021-10-21,Florida Panthers,Colorado Avalanche,Florida Panthers,Colorado Avalanche,4,1,REG
2021-10-21,New Jersey Devils,Washington Capitals,Washington Capitals,New Jersey Devils,4,1,REG
2021-10-21,Columbus Blue Jackets,New York Islanders,Columbus Blue Jackets,New York Islanders,3,2,OT
2021-10-21,Detroit Red Wings,Calgary Flames,Calgary Flames,Detroit Red Wings,3,0,REG
2021-10-22,Nashville Predators,New York Rangers,New York Rangers,Nashville Predators,3,1,REG
2021-10-22,Winnipeg Jets,Anaheim Ducks,Winnipeg Jets,Anaheim Ducks,5,1,REG
2021-10-22,Chicago Blackhawks,Vancouver Canucks,Vancouver Canucks,Chicago Blackhawks,4,1,REG
2021-10-22,Arizona Coyotes,Edmonton Oilers,Edmonton Oilers,Arizona Coyotes,5,1,REG
2021-10-22,Toronto Maple Leafs,San Jose Sharks,San Jose Sharks,Toronto Maple Leafs,5,3,REG
2021-10-22,Buffalo Sabres,Boston Bruins,Boston Bruins,Buffalo Sabres,4,1,REG
2021-10-23,Dallas Stars,Los Angeles Kings,Dallas Stars,Los Angeles Kings,3,2,OT
2021-10-23,Vegas Golden Knights,Edmonton Oilers,Edmonton Oilers,Vegas Golden Knights,5,3,REG
2021-10-23,Ottawa Senators,New York Rangers,New York Rangers,Ottawa Senators,3,2,REG
2021-10-23,Washington Capitals,Calgary Flames,Calgary Flames,Washington Capitals,4,3,OT
2021-10-23,Minnesota Wild,Anaheim Ducks,Minnesota Wild,Anaheim Ducks,4,3,OT
2021-10-23,Montreal Canadiens,Detroit Red Wings,Montreal Canadiens,Detroit Red Wings,5,1,REG
2021-10-23,Tampa Bay Lightning,Colorado Avalanche,Colorado Avalanche,Tampa Bay Lightning,4,3,SO
2021-10-23,New Jersey Devils,Buffalo Sabres,New Jersey Devils,Buffalo Sabres,2,1,OT
2021-10-23,Philadelphia Flyers,Florida Panthers,Florida Panthers,Philadelphia Flyers,4,2,REG
2021-10-23,Pittsburgh Penguins,Toronto Maple Leafs,Pittsburgh Penguins,Toronto Maple Leafs,5,1,REG
2021-10-23,Columbus Blue Jackets,Carolina Hurricanes,Carolina Hurricanes,Columbus Blue Jackets,5,1,REG
2021-10-23,Winnipeg Jets,Nashville Predators,Winnipeg Jets,Nashville Predators,6,4,REG
2021-10-24,St. Louis Blues,Los Angeles Kings,St. Louis Blues,Los Angeles Kings,7,3,REG
2021-10-24,Arizona Coyotes,New York Islanders,New York Islanders,Arizona Coyotes,3,0,REG
2021-10-24,Seattle Kraken,Vancouver Canucks,Vancouver Canucks,Seattle Kraken,4,2,REG
2021-10-24,Boston Bruins,San Jose Sharks,Boston Bruins,San Jose Sharks,4,3,REG
2021-10-24,Minnesota Wild,Nashville Predators,Nashville Predators,Minnesota Wild,5,2,REG
2021-10-24,Chicago Blackhawks,Detroit Red Wings,Detroit Red Wings,Chicago Blackhawks,6,3,REG
2021-10-25,Vegas Golden Knights,New York Islanders,New York Islanders,Vegas Golden Knights,2,0,REG
2021-10-25,Buffalo Sabres,Tampa Bay Lightning,Buffalo Sabres,Tampa Bay Lightning,5,1,REG
2021-10-25,Ottawa Senators,Washington Capitals,Washington Capitals,Ottawa Senators,7,5,REG
2021-10-25,Florida Panthers,Arizona Coyotes,Florida Panthers,Arizona Coyotes,5,3,REG
2021-10-25,New York Rangers,Calgary Flames,Calgary Flames,New York Rangers,5,1,REG
2021-10-25,Carolina Hurricanes,Toronto Maple Leafs,Carolina Hurricanes,Toronto Maple Leafs,4,1,REG
2021-10-25,Columbus Blue Jackets,Dallas Stars,Columbus Blue Jackets,Dallas Stars,4,1,REG
2021-10-26,St. Louis Blues,Los Angeles Kings,St. Louis Blues,Los Angeles Kings,3,0,REG
2021-10-26,New Jersey Devils,Calgary Flames,Calgary Flames,New Jersey Devils,5,3,REG
2021-10-26,Pittsburgh Penguins,Tampa Bay Lightning,Tampa Bay Lightning,Pittsburgh Penguins,5,1,REG
2021-10-27,Colorado Avalanche,Vegas Golden Knights,Vegas Golden Knights,Colorado Avalanche,3,1,REG
2021-10-27,Nashville Predators,San Jose Sharks,Nashville Predators,San Jose Sharks,3,1,REG
2021-10-27,Vancouver Canucks,Minnesota Wild,Minnesota Wild,Vancouver Canucks,3,2,REG
2021-10-27,Anaheim Ducks,Winnipeg Jets,Winnipeg Jets,Anaheim Ducks,4,3,REG
2021-10-27,Seattle Kraken,Montreal Canadiens,Seattle Kraken,Montreal Canadiens,5,1,REG
2021-10-27,Florida Panthers,Boston Bruins,Florida Panthers,Boston Bruins,4,1,REG
2021-10-27,Washington Capitals,Detroit Red Wings,Detroit Red Wings,Washington Capitals,3,2,OT
2021-10-27,Chicago Blackhawks,Toronto Maple Leafs,Toronto Maple Leafs,Chicago Blackhawks,3,2,OT
2021-10-28,Dallas Stars,Vegas Golden Knights,Vegas Golden Knights,Dallas Stars,3,2,OT
2021-10-28,Edmonton Oilers,Philadelphia Flyers,Philadelphia Flyers,Edmonton Oilers,5,3,REG
2021-10-28,Tampa Bay Lightning,Arizona Coyotes,Tampa Bay Lightning,Arizona Coyotes,5,1,REG
2021-10-28,Pittsburgh Penguins,Calgary Flames,Calgary Flames,Pittsburgh Penguins,4,0,REG
2021-10-28,Carolina Hurricanes,Boston Bruins,Carolina Hurricanes,Boston Bruins,3,0,REG
2021-10-29,St. Louis Blues,Colorado Avalanche,Colorado Avalanche,St. Louis Blues,4,3,REG
2021-10-29,Vancouver Canucks,Philadelphia Flyers,Philadelphia Flyers,Vancouver Canucks,2,1,REG
2021-10-29,Anaheim Ducks,Buffalo Sabres,Buffalo Sabres,Anaheim Ducks,4,3,OT
2021-10-29,Seattle Kraken,Minnesota Wild,Seattle Kraken,Minnesota Wild,4,1,REG
2021-10-29,Los Angeles Kings,Winnipeg Jets,Winnipeg Jets,Los Angeles Kings,3,2,REG
2021-10-29,San Jose Sharks,Montreal Canadiens,Montreal Canadiens,San Jose Sharks,4,0,REG
2021-10-29,Detroit Red Wings,Florida Panthers,Florida Panthers,Detroit Red Wings,3,2,OT
2021-10-29,New York Rangers,Columbus Blue Jackets,New York Rangers,Columbus Blue Jackets,4,0,REG
2021-10-29,Washington Capitals,Arizona Coyotes,Washington Capitals,Arizona Coyotes,2,0,REG
2021-10-29,Carolina Hurricanes,Chicago Blackhawks,Carolina Hurricanes,Chicago Blackhawks,6,3,REG
2021-10-30,Vegas Golden Knights,Anaheim Ducks,Vegas Golden Knights,Anaheim Ducks,5,4,SO
2021-10-30,Dallas Stars,Ottawa Senators,Ottawa Senators,Dallas Stars,4,1,REG
2021-10-30,Nashville Predators,New York Islanders,Nashville Predators,New York Islanders,3,2,SO
2021-10-30,Los Angeles Kings,Montreal Canadiens,Los Angeles Kings,Montreal Canadiens,5,2,REG
2021-10-30,Boston Bruins,Florida Panthers,Boston Bruins,Florida Panthers,3,2,SO
2021-10-30,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,5,4,REG
2021-10-30,Pittsburgh Penguins,New Jersey Devils,New Jersey Devils,Pittsburgh Penguins,4,2,REG
2021-10-30,San Jose Sharks,Winnipeg Jets,San Jose Sharks,Winnipeg Jets,2,1,OT
2021-10-31,Colorado Avalanche,Minnesota Wild,Colorado Avalanche,Minnesota Wild,4,1,REG
2021-10-31,Calgary Flames,Philadelphia Flyers,Calgary Flames,Philadelphia Flyers,4,0,REG
2021-10-31,Vancouver Canucks,Edmonton Oilers,Edmonton Oilers,Vancouver Canucks,2,1,REG
2021-10-31,Carolina Hurricanes,Arizona Coyotes,Carolina Hurricanes,Arizona Coyotes,2,1,REG
2021-10-31,Anaheim Ducks,Montreal Canadiens,Anaheim Ducks,Montreal Canadiens,4,2,REG
2021-10-31,Los Angeles Kings,Buffalo Sabres,Los Angeles Kings,Buffalo Sabres,3,2,REG
2021-10-31,New Jersey Devils,Columbus Blue Jackets,Columbus Blue Jackets,New Jersey Devils,4,3,SO
2021-11-01,Seattle Kraken,New York Rangers,New York Rangers,Seattle Kraken,3,1,REG
2021-11-01,Tampa Bay Lightning,Washington Capitals,Tampa Bay Lightning,Washington Capitals,3,2,REG
2021-11-02,Chicago Blackhawks,Ottawa Senators,Chicago Blackhawks,Ottawa Senators,5,1,REG
2021-11-02,Edmonton Oilers,Seattle Kraken,Edmonton Oilers,Seattle Kraken,5,2,REG
2021-11-02,Toronto Maple Leafs,Vegas Golden Knights,Toronto Maple Leafs,Vegas Golden Knights,4,0,REG
2021-11-02,Montreal Canadiens,Detroit Red Wings,Montreal Canadiens,Detroit Red Wings,3,0,REG
2021-11-02,Philadelphia Flyers,Arizona Coyotes,Philadelphia Flyers,Arizona Coyotes,3,0,REG
2021-11-03,Minnesota Wild,Ottawa Senators,Minnesota Wild,Ottawa Senators,5,4,OT
2021-11-03,Winnipeg Jets,Dallas Stars,Winnipeg Jets,Dallas Stars,4,3,SO
2021-11-03,Calgary Flames,Nashville Predators,Nashville Predators,Calgary Flames,3,2,OT
2021-11-03,Vancouver Canucks,New York Rangers,Vancouver Canucks,New York Rangers,3,2,OT
2021-11-03,Anaheim Ducks,New Jersey Devils,Anaheim Ducks,New Jersey Devils,4,0,REG
2021-11-03,San Jose Sharks,Buffalo Sabres,San Jose Sharks,Buffalo Sabres,5,3,REG
2021-11-04,Chicago Blackhawks,Carolina Hurricanes,Carolina Hurricanes,Chicago Blackhawks,4,3,REG
2021-11-04,Edmonton Oilers,Nashville Predators,Edmonton Oilers,Nashville Predators,5,2,REG
2021-11-04,Colorado Avalanche,Columbus Blue Jackets,Columbus Blue Jackets,Colorado Avalanche,5,4,OT
2021-11-04,Los Angeles Kings,St. Louis Blues,Los Angeles Kings,St. Louis Blues,3,2,SO
2021-11-04,Boston Bruins,Detroit Red Wings,Boston Bruins,Detroit Red Wings,5,1,REG
2021-11-04,Toronto Maple Leafs,Tampa Bay Lightning,Toronto Maple Leafs,Tampa Bay Lightning,2,1,OT
2021-11-04,Montreal Canadiens,New York Islanders,New York Islanders,Montreal Canadiens,6,2,REG
2021-11-04,Ottawa Senators,Vegas Golden Knights,Vegas Golden Knights,Ottawa Senators,5,1,REG
2021-11-04,Florida Panthers,Washington Capitals,Florida Panthers,Washington Capitals,5,4,OT
2021-11-04,Pittsburgh Penguins,Philadelphia Flyers,Pittsburgh Penguins,Philadelphia Flyers,3,2,OT
2021-11-05,Calgary Flames,Dallas Stars,Dallas Stars,Calgary Flames,4,3,OT
2021-11-05,Seattle Kraken,Buffalo Sabres,Seattle Kraken,Buffalo Sabres,5,2,REG
2021-11-05,San Jose Sharks,St. Louis Blues,St. Louis Blues,San Jose Sharks,5,3,REG
2021-11-06,Winnipeg Jets,Chicago Blackhawks,Winnipeg Jets,Chicago Blackhawks,5,1,REG
2021-11-06,Edmonton Oilers,New York Rangers,Edmonton Oilers,New York Rangers,6,5,OT
2021-11-06,Vancouver Canucks,Nashville Predators,Nashville Predators,Vancouver Canucks,3,2,REG
2021-11-06,Anaheim Ducks,Arizona Coyotes,Anaheim Ducks,Arizona Coyotes,3,1,REG
2021-11-06,Los Angeles Kings,New Jersey Devils,Los Angeles Kings,New Jersey Devils,3,2,OT
2021-11-06,Ottawa Senators,Tampa Bay Lightning,Tampa Bay Lightning,Ottawa Senators,5,3,REG
2021-11-06,Florida Panthers,Carolina Hurricanes,Florida Panthers,Carolina Hurricanes,5,2,REG
2021-11-06,Buffalo Sabres,Detroit Red Wings,Detroit Red Wings,Buffalo Sabres,4,3,OT
2021-11-06,Toronto Maple Leafs,Boston Bruins,Toronto Maple Leafs,Boston Bruins,5,2,REG
2021-11-06,Montreal Canadiens,Vegas Golden Knights,Vegas Golden Knights,Montreal Canadiens,5,2,REG
2021-11-06,Pittsburgh Penguins,Minnesota Wild,Minnesota Wild,Pittsburgh Penguins,5,4,SO
2021-11-06,Washington Capitals,Philadelphia Flyers,Philadelphia Flyers,Washington Capitals,2,1,REG
2021-11-06,Columbus Blue Jackets,Colorado Avalanche,Columbus Blue Jackets,Colorado Avalanche,4,2,REG
2021-11-06,Winnipeg Jets,New York Islanders,New York Islanders,Winnipeg Jets,2,0,REG
2021-11-07,Calgary Flames,New York Rangers,Calgary Flames,New York Rangers,4,0,REG
2021-11-07,Arizona Coyotes,Seattle Kraken,Arizona Coyotes,Seattle Kraken,5,4,REG
2021-11-07,San Jose Sharks,New Jersey Devils,New Jersey Devils,San Jose Sharks,3,2,SO
2021-11-07,Detroit Red Wings,Vegas Golden Knights,Detroit Red Wings,Vegas Golden Knights,5,2,REG
2021-11-08,Chicago Blackhawks,Nashville Predators,Chicago Blackhawks,Nashville Predators,2,1,OT
2021-11-08,Minnesota Wild,New York Islanders,Minnesota Wild,New York Islanders,5,2,REG
2021-11-08,Anaheim Ducks,St. Louis Blues,Anaheim Ducks,St. Louis Blues,4,1,REG
2021-11-08,Vancouver Canucks,Dallas Stars,Vancouver Canucks,Dallas Stars,6,3,REG
2021-11-09,New York Rangers,Florida Panthers,New York Rangers,Florida Panthers,4,3,REG
2021-11-09,Washington Capitals,Buffalo Sabres,Washington Capitals,Buffalo Sabres,5,3,REG
2021-11-09,Toronto Maple Leafs,Los Angeles Kings,Los Angeles Kings,Toronto Maple Leafs,5,1,REG
2021-11-10,Boston Bruins,Ottawa Senators,Boston Bruins,Ottawa Senators,3,2,REG
2021-11-10,Montreal Canadiens,Los Angeles Kings,Los Angeles Kings,Montreal Canadiens,3,2,OT
2021-11-10,Tampa Bay Lightning,Carolina Hurricanes,Carolina Hurricanes,Tampa Bay Lightning,2,1,OT
2021-11-10,New Jersey Devils,Florida Panthers,New Jersey Devils,Florida Panthers,7,3,REG
2021-11-10,Detroit Red Wings,Edmonton Oilers,Detroit Red Wings,Edmonton Oilers,4,2,REG
2021-11-10,Winnipeg Jets,St. Louis Blues,St. Louis Blues,Winnipeg Jets,3,2,SO
2021-11-10,Chicago Blackhawks,Pittsburgh Penguins,Chicago Blackhawks,Pittsburgh Penguins,3,2,SO
